stop_id,direction_name
302S,Downtown and Brooklyn
224N,Uptown and The Bronx
224S,Downtown and Brooklyn
225N,Uptown and The Bronx
225S,Downtown and Brooklyn
226N,Uptown and The Bronx
226S,Downtown and Brooklyn
227N,Uptown and The Bronx
227S,Downtown and Brooklyn
501N,(Terminating trains)
501S,Manhattan
502N,Eastchester - Dyre Av
502S,Manhattan
503N,Eastchester - Dyre Av
503S,Manhattan
504N,Eastchester - Dyre Av
504S,Manhattan
505N,Eastchester - Dyre Av
505S,Manhattan
701N,(Terminating trains)
701S,Manhattan
702N,Flushing
702S,Manhattan
705N,Flushing
705S,Manhattan
706N,Flushing
706S,Manhattan
707N,Flushing
707S,Manhattan
708N,Flushing
708S,Manhattan
709N,Flushing
709S,Manhattan
710N,Flushing
710S,Manhattan
711N,Flushing
711S,Manhattan
712N,Flushing
712S,Manhattan
713N,Flushing
713S,Manhattan
714N,Flushing
714S,Manhattan
715N,Flushing
715S,Manhattan
716N,Flushing
716S,Manhattan
718N,Astoria - Flushing
718S,Manhattan
R09N,Astoria - Flushing
R09S,Manhattan
719N,Flushing
719S,Manhattan
720N,Flushing
720S,Manhattan
721N,Flushing
721S,Manhattan
723N,Queens
723S,34 St - Hudson Yards
724N,Queens
724S,34 St - Hudson Yards
725N,Queens
725S,34 St - Hudson Yards
902N,(Terminating trains)
902S,Grand Central
901N,Times Sq
901S,(Terminating trains)
726N,Queens
726S,(Terminating trains)
Q05N,(Terminating trains)
Q05S,Downtown and Brooklyn
Q04N,Uptown
Q04S,Downtown and Brooklyn
Q03N,Uptown
Q03S,Downtown and Brooklyn
S31N,(Terminating trains)
S31S,Tottenville
S30N,St George
S30S,Tottenville
S29N,St George
S29S,Tottenville
S28N,St George
S28S,Tottenville
S27N,St George
S27S,Tottenville
S26N,St George
S26S,Tottenville
S25N,St George
S25S,Tottenville
S24N,St George
S24S,Tottenville
S23N,St George
S23S,Tottenville
S22N,St George
S22S,Tottenville
S21N,St George
S21S,Tottenville
S20N,St George
S20S,Tottenville
S19N,St George
S19S,Tottenville
S18N,St George
S18S,Tottenville
S17N,St George
S17S,Tottenville
S16N,St George
S16S,Tottenville
S15N,St George
S15S,Tottenville
S14N,St George
S14S,Tottenville
S13N,St George
S13S,Tottenville
S09N,St George
S09S,(Terminating trains)
S11N,St George
S11S,Tottenville
